Channel Index,Frame,Track ID,Steps, X (nm),Y (nm),Z (nm),Photon Count,Diffusion coeff. (um^2/s),Total Displacement,Duration (us)
1,11,20,11,37889.9,43278.3,0,2720.04,0.0326827,0.0766468,0
1,12,20,11,37860.2,43239.1,0,1327.49,0.0326827,0.0766468,0
1,1,23,3,36930.3,44787.6,0,5791.42,0.0137656,0.464045,0
1,2,23,3,36945,44777,0,2228.41,0.0137656,0.464045,0
1,3,23,3,36954.9,44822.3,0,1728.84,0.0137656,0.464045,0
1,4,23,3,36933.7,44841.7,0,1176.63,0.0137656,0.464045,0
1,1,26,5,28509.1,47192.2,0,963.172,0.0188559,0.359862,0
1,2,26,5,28537.4,47196.1,0,594.726,0.0188559,0.359862,0
1,3,26,5,28524.9,47138.8,0,1778.92,0.0188559,0.359862,0
1,4,26,5,28539,47176.7,0,1076.62,0.0188559,0.359862,0
1,5,26,5,28520.9,47184,0,762.674,0.0188559,0.359862,0
1,6,26,5,28509.6,47150.1,0,1340.05,0.0188559,0.359862,0
1,1,27,9,34688.1,50870.4,0,1021.85,0.0130644,0.139196,0
1,2,27,9,34651.2,50887.5,0,1230.11,0.0130644,0.139196,0
1,3,27,9,34668.2,50881.1,0,859.239,0.0130644,0.139196,0
1,4,27,9,34681.5,50876.4,0,683.388,0.0130644,0.139196,0
1,5,27,9,34669.3,50897.2,0,861.094,0.0130644,0.139196,0
1,6,27,9,34694.8,50878.6,0,1085.12,0.0130644,0.139196,0
1,7,27,9,34682.4,50845,0,958.593,0.0130644,0.139196,0
1,8,27,9,34659.5,50895.6,0,1001.01,0.0130644,0.139196,0
1,9,27,9,34674.5,50911.1,0,1170.64,0.0130644,0.139196,0
1,10,27,9,34677.7,50882.9,0,1055.95,0.0130644,0.139196,0
1,1,29,4,40558.6,51255.2,0,1838.91,0.275759,0.870943,0
1,2,29,4,40471.8,51422.6,0,8118.81,0.275759,0.870943,0
1,3,29,4,40515.1,51226.4,0,3128.49,0.275759,0.870943,0
1,4,29,4,40434.1,51238.4,0,5715.23,0.275759,0.870943,0
1,5,29,4,40485.6,51184.1,0,688.597,0.275759,0.870943,0
1,1,30,7,46006.6,53304.5,0,642.689,0.0218357,0.231958,0
1,2,30,7,46044.7,53321.3,0,1191.64,0.0218357,0.231958,0
1,3,30,7,46034.2,53325.9,0,1399.9,0.0218357,0.231958,0
1,4,30,7,46029.2,53356.1,0,980.408,0.0218357,0.231958,0
1,5,30,7,46017.3,53310.1,0,1231.39,0.0218357,0.231958,0
1,6,30,7,46063.7,53284.7,0,1018.99,0.0218357,0.231958,0
1,7,30,7,46009.4,53316.9,0,956.467,0.0218357,0.231958,0
1,8,30,7,45993.3,53328.1,0,744.813,0.0218357,0.231958,0
1,1,31,36,23848.2,53872.6,0,964.844,0.0198726,0.271324,0
1,2,31,36,23834.9,53861.5,0,1172.81,0.0198726,0.271324,0
1,3,31,36,23839.8,53893.1,0,1924.66,0.0198726,0.271324,0
1,4,31,36,23804.5,53889.4,0,2291.5,0.0198726,0.271324,0
1,5,31,36,23789.7,53873.1,0,1472.25,0.0198726,0.271324,0
1,6,31,36,23816.6,53887.4,0,2439.42,0.0198726,0.271324,0
1,7,31,36,23750.5,53911.2,0,1396.38,0.0198726,0.271324,0
1,8,31,36,23761.7,53915.1,0,1191.73,0.0198726,0.271324,0
1,9,31,36,23806,53921.7,0,1439.04,0.0198726,0.271324,0
1,10,31,36,23792.2,53908.7,0,1534.07,0.0198726,0.271324,0
1,11,31,36,23822.6,53903.1,0,1229.19,0.0198726,0.271324,0
1,12,31,36,23797.2,53926.3,0,1451.92,0.0198726,0.271324,0
1,13,31,36,23826.7,53890.5,0,1377.88,0.0198726,0.271324,0
1,14,31,36,23846.9,53883.2,0,1122.68,0.0198726,0.271324,0
1,15,31,36,23839.7,53902.6,0,1064.72,0.0198726,0.271324,0
1,16,31,36,23840.6,53889.2,0,1405.47,0.0198726,0.271324,0
1,17,31,36,23828.1,53869.1,0,1980.17,0.0198726,0.271324,0
1,18,31,36,23832.1,53882.6,0,1201.43,0.0198726,0.271324,0
1,19,31,36,23839.7,53874,0,1299.95,0.0198726,0.271324,0
1,20,31,36,23881.5,53870.6,0,1996.8,0.0198726,0.271324,0
1,21,31,36,23824.8,53906.5,0,1871.81,0.0198726,0.271324,0
1,22,31,36,23827.7,53873.6,0,1888.76,0.0198726,0.271324,0
1,23,31,36,23834.7,53908.4,0,1637.13,0.0198726,0.271324,0
1,24,31,36,23829.2,53867.2,0,1677.49,0.0198726,0.271324,0
1,25,31,36,23849.9,53858.8,0,1049.76,0.0198726,0.271324,0
1,26,31,36,23868.9,53883.9,0,1566.48,0.0198726,0.271324,0
1,27,31,36,23840.8,53896,0,899.573,0.0198726,0.271324,0
1,28,31,36,23833.6,53882.5,0,1239.49,0.0198726,0.271324,0
1,29,31,36,23823.4,53926.4,0,1066.68,0.0198726,0.271324,0
1,30,31,36,23792.4,53948.5,0,1582.54,0.0198726,0.271324,0
1,31,31,36,23841.9,53896.9,0,1353.98,0.0198726,0.271324,0
1,32,31,36,23838.1,53890,0,1056.41,0.0198726,0.271324,0
1,33,31,36,23844.8,53893.7,0,830.273,0.0198726,0.271324,0
1,34,31,36,23852.3,53871.2,0,1459.93,0.0198726,0.271324,0
1,35,31,36,23900.5,53833.8,0,1249.33,0.0198726,0.271324,0
1,36,31,36,23812.1,53866.5,0,806.25,0.0198726,0.271324,0
1,37,31,36,23879.9,53873,0,1459.17,0.0198726,0.271324,0
1,1,32,10,43228.4,53946.5,0,2056.43,0.144116,3.29235,0
1,2,32,10,43218.4,53881,0,1399.43,0.144116,3.29235,0
1,3,32,10,43137.8,54037.2,0,811.844,0.144116,3.29235,0
1,4,32,10,43111.9,54108.3,0,912.232,0.144116,3.29235,0
1,5,32,10,43084.6,54232.8,0,1926.32,0.144116,3.29235,0
1,6,32,10,43038.1,54175.9,0,2149.97,0.144116,3.29235,0
1,7,32,10,42943.8,54200.2,0,1747.76,0.144116,3.29235,0
1,8,32,10,43081.4,54244,0,1778.71,0.144116,3.29235,0
1,9,32,10,43099.9,54261.8,0,1832.7,0.144116,3.29235,0
1,10,32,10,43224.5,54285.8,0,1676.3,0.144116,3.29235,0
1,11,32,10,43286.4,54327.3,0,329.03,0.144116,3.29235,0
1,1,34,19,30961.3,56026.6,0,2483.34,0.0306294,1.03501,0
1,2,34,19,30970.5,56092.7,0,2816.19,0.0306294,1.03501,0
1,3,34,19,30988.8,56043.4,0,2247.17,0.0306294,1.03501,0
1,4,34,19,31007.2,56026.5,0,1531.08,0.0306294,1.03501,0
1,5,34,19,30995.7,56043.8,0,1751.23,0.0306294,1.03501,0
1,6,34,19,30918.4,56037.4,0,9606.58,0.0306294,1.03501,0
1,7,34,19,30954.6,56015.3,0,3573.93,0.0306294,1.03501,0
1,8,34,19,30964.7,56068,0,2201.46,0.0306294,1.03501,0
1,9,34,19,30990.2,56031,0,1702.73,0.0306294,1.03501,0
1,10,34,19,31001.4,56035.1,0,2090.48,0.0306294,1.03501,0
1,11,34,19,31034,56032.9,0,2219.4,0.0306294,1.03501,0
1,12,34,19,30996.2,56023.9,0,13862.6,0.0306294,1.03501,0
1,13,34,19,31004.5,56072.4,0,1924.18,0.0306294,1.03501,0
1,14,34,19,30951.9,56083.9,0,9078.55,0.0306294,1.03501,0
1,15,34,19,30933.4,56080.1,0,1155.71,0.0306294,1.03501,0
1,16,34,19,30955.5,56062.5,0,1744.23,0.0306294,1.03501,0
1,17,34,19,30947.5,56100.7,0,4974.91,0.0306294,1.03501,0
1,18,34,19,30975.9,56020.2,0,1603.06,0.0306294,1.03501,0
1,19,34,19,31051,55994.5,0,1397.82,0.0306294,1.03501,0
1,20,34,19,31062.9,55960.7,0,2927.27,0.0306294,1.03501,0
1,1,36,3,36900.7,58502.8,0,8139.64,0.388951,0.913578,0
1,2,36,3,37052.4,58522.3,0,2551.55,0.388951,0.913578,0
1,3,36,3,37068.6,58501.3,0,2814.63,0.388951,0.913578,0
1,4,36,3,36811.9,58443.3,0,1181.44,0.388951,0.913578,0
1,1,37,7,38294.9,59829.8,0,2247.6,0.0153327,0.921644,0
1,2,37,7,38257.5,59833.5,0,6966.47,0.0153327,0.921644,0
1,3,37,7,38270.8,59850.1,0,2186.82,0.0153327,0.921644,0
1,4,37,7,38262.1,59897.2,0,1328.58,0.0153327,0.921644,0
1,5,37,7,38249.6,59925,0,1194.46,0.0153327,0.921644,0
1,6,37,7,38236.7,59971.4,0,1631.38,0.0153327,0.921644,0
1,7,37,7,38244.7,59955.2,0,1165.4,0.0153327,0.921644,0
1,8,37,7,38246.5,59926.1,0,986.732,0.0153327,0.921644,0
1,1,38,69,29798,60293.4,0,1712.84,0.0274689,0.258289,0
1,2,38,69,29818.8,60277.1,0,1347.3,0.0274689,0.258289,0
1,3,38,69,29853.9,60227.6,0,1782.61,0.0274689,0.258289,0
1,4,38,69,29866.7,60267.7,0,1268.86,0.0274689,0.258289,0
1,5,38,69,29794.3,60270,0,2963.45,0.0274689,0.258289,0
1,6,38,69,29788,60290.4,0,1218.19,0.0274689,0.258289,0
1,7,38,69,29825.1,60277.7,0,2062.87,0.0274689,0.258289,0
1,8,38,69,29813.5,60267.2,0,1417.72,0.0274689,0.258289,0
1,9,38,69,29797.8,60272.3,0,1777.12,0.0274689,0.258289,0
1,10,38,69,29803.9,60254.4,0,2594.46,0.0274689,0.258289,0
1,11,38,69,29806.7,60215.5,0,1729.88,0.0274689,0.258289,0
1,12,38,69,29782,60177.6,0,1798.29,0.0274689,0.258289,0
1,13,38,69,29831.4,60260,0,1441.31,0.0274689,0.258289,0
1,14,38,69,29842.2,60240.8,0,2187.81,0.0274689,0.258289,0
1,15,38,69,29768.4,60215.7,0,1207.87,0.0274689,0.258289,0
1,16,38,69,29788.9,60279.6,0,1307.79,0.0274689,0.258289,0
1,17,38,69,29746.3,60239.8,0,1903.93,0.0274689,0.258289,0
1,18,38,69,29768.7,60254.4,0,1988.68,0.0274689,0.258289,0
1,19,38,69,29786.8,60221.6,0,1306.39,0.0274689,0.258289,0
1,20,38,69,29802.4,60239.4,0,1417.36,0.0274689,0.258289,0
1,21,38,69,29794.3,60244.2,0,1972.72,0.0274689,0.258289,0
1,22,38,69,29779.6,60268.5,0,1470.43,0.0274689,0.258289,0
